C.D.S.  -  SIMBAD4 rel 1.6  -  2018.05.13CEST19:32:07

*
-

Number of objects : 10000  (truncated to 10000 objects)

  #  |                 typed ident                  |                  identifier                  |typ|  coord1 (ICRS,J2000/2000)   |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib|#not
-----|----------------------------------------------|----------------------------------------------|---|-----------------------------|------|------|------|------|------|---------------------|----|----
1    |[MJ2006] J234251.6-032555.5                   |[MJ2006] J234251.6-032555.5                   |G  |23 42 51.6 -03 25 56         |     ~|     ~|     ~|21.3  |     ~|~                    |   1|   0
3    |[MJ2006] J234618.9+092958.9                   |[MJ2006] J234618.9+092958.9                   |G  |23 46 18.9 +09 29 59         |     ~|     ~|     ~|19.1  |     ~|~                    |   1|   0
4    |[MJ2006] J225412.0+160640.1                   |[MJ2006] J225412.0+160640.1                   |G  |22 54 12.0 +16 06 40         |     ~|     ~|     ~|21.6  |     ~|~                    |   1|   0
5    |[MJ2006] J012542.4-000339.7                   |[MJ2006] J012542.4-000339.7                   |G  |01 25 42.4 -00 03 40         |     ~|     ~|     ~|19.1  |     ~|~                    |   1|   0
6    |[MCK2006]  6                                  |[MCK2006] 6                                   |Rad|13 36 51.550 -29 53 00.61    |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
7    |[MJ2006] J234254.8-032515.8                   |[MJ2006] J234254.8-032515.8                   |G  |23 42 54.8 -03 25 16         |     ~|     ~|     ~|19.0  |     ~|~                    |   1|   0
8    |[MJ2006] J101012.7+413017.5                   |[MJ2006] J101012.7+413017.5                   |G  |10 10 12.7 +41 30 18         |     ~|     ~|     ~|19.7  |     ~|~                    |   1|   0
9    |[RME2008] AC 114a                             |[RME2008] AC 114a                             |LeG|22 58 49.79 -34 48 47.0      |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
10   |[TSB2006]  55                                 |[TSB2006] 55                                  |G  |12 36 48.189 +62 12 14.98    |     ~|23.8  |23.4  |     ~|21.9  |~                    |   8|   0
11   |[GKJ2003] ATCA J2001-4650                     |[GKJ2003] ATCA J2001-4650                     |G  |20 01 00.0 -46 48 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
12   |[MJ2006] J171955.8+480628.3                   |[MJ2006] J171955.8+480628.3                   |G  |17 19 55.8 +48 06 28         |     ~|     ~|     ~|21.3  |     ~|~                    |   1|   0
13   |[MJ2006] J002702.7+224025.3                   |[MJ2006] J002702.7+224025.3                   |G  |00 27 02.7 +22 40 25         |     ~|     ~|     ~|20.9  |     ~|~                    |   1|   0
14   |[GEA97] western hot spot                      |[GEA97] western hot spot                      |Y*O|19 15 41.16 +19 06 49.7      |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
15   |[CSH2002] Lensed G                            |[CSH2002] Lensed G                            |G  |03 02 33.0 +00 06 00         |     ~|     ~|     ~|     ~|     ~|~                    |   6|   1
16   |[MJ2006] J171947.0+480500.3                   |[MJ2006] J171947.0+480500.3                   |G  |17 19 47.0 +48 05 00         |     ~|     ~|     ~|19.3  |     ~|~                    |   1|   0
17   |[KHQ90] 0836+71 C1/2                          |[KHQ90] 0836+71 C1/2                          |Rad|No Coord.                    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
18   |[FMR2009] West                                |[FMR2009] West                                |mm |16 58 17.080 -42 52 07.47    |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
19   |[MJ2006] J234640.0+093305.5                   |[MJ2006] J234640.0+093305.5                   |G  |23 46 40.0 +09 33 06         |     ~|     ~|     ~|20.6  |     ~|~                    |   1|   0
20   |[MCK2006] 45                                  |[MCK2006] 45                                  |Rad|13 37 07.660 -29 51 13.28    |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
21   |[MJ2006] J101037.2+413538.2                   |[MJ2006] J101037.2+413538.2                   |G  |10 10 37.2 +41 35 38         |     ~|     ~|     ~|20.3  |     ~|~                    |   1|   0
22   |[MJ2006] J214807.5+065528.2                   |[MJ2006] J214807.5+065528.2                   |G  |21 48 07.5 +06 55 28         |     ~|     ~|     ~|21.4  |     ~|~                    |   1|   0
23   |[MJ2006] J214819.6+065916.3                   |[MJ2006] J214819.6+065916.3                   |G  |21 48 19.6 +06 59 16         |     ~|     ~|     ~|19.6  |     ~|~                    |   1|   0
24   |[BBD2008] Faint-star clump                    |[BBD2008] Faint-star clump                    |Cl*|06 25 03.0 +19 53 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
25   |[MYP92] Sgr B1 Ionized bar                    |[MYP92] Sgr B1 Ionized bar                    |Rad|17 47 01.4 -28 30 37         |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
26   |[SHK2005] Cluster                             |[SHK2005] Cluster                             |Cl*|10 47 00.0 +14 00 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
