[MJ2006] J234251.6-032555.5                   23.7143 -2.56778
[MJ2006] J234618.9+092958.9                   23.7719 9.49972
[MJ2006] J225412.0+160640.1                   22.9033 16.1111
[MJ2006] J012542.4-000339.7                   1.42844 0.0611111
[MJ2006] J234254.8-032515.8                   23.7152 -2.57889
[MJ2006] J101012.7+413017.5                   10.1702 41.505
[TSB2006]  55                                 12.6134 62.2042
[GKJ2003] ATCA J2001-4650                     20.0167 -45.2
[MJ2006] J171955.8+480628.3                   17.3322 48.1078
[MJ2006] J002702.7+224025.3                   0.45075 22.6736
[CSH2002] Lensed G                            3.0425 0.1
[MJ2006] J171947.0+480500.3                   17.3297 48.0833
[MJ2006] J234640.0+093305.5                   23.7778 9.55167
[MJ2006] J101037.2+413538.2                   10.177 41.5939
[MJ2006] J214807.5+065528.2                   21.8021 6.92444
[MJ2006] J214819.6+065916.3                   21.8054 6.98778
[MJ2006] J020200.8-113421.0                   2.03356 -10.4275
[MJ2006] J230500.7+030902.3                   23.0835 3.15056
[MJ2006] J230435.6+030947.2                   23.0766 3.16306
RBTB J154542.8+591132                         15.7619 59.1922
[MJ2006] J002720.6+224215.2                   0.455722 22.7042
[MJ2006] J172000.6+480328.0                   17.3335 48.0578
[MJ2006] J234636.9+093215.5                   23.7769 9.53778
[MJ2006] J091939.7+510644.6                   9.32769 51.1125
[MJ2006] J041717.3-055647.4                   4.28814 -4.05361
[MJ2006] J234625.2+092759.6                   23.7737 9.46667
[TSB2006]  43                                 12.6131 62.2035
[MJ2006] J092008.1+510633.0                   9.33558 51.1092
[MJ2006] J100224.1+681617.9                   10.04 68.2717
[MJ2006] J002727.3+224333.2                   0.457583 22.7258
[MJ2006] J234649.1+092908.6                   23.7803 9.48583
[MJ2006] J171943.1+480553.2                   17.3286 48.0981
[MJ2006] J214752.4+065458.8                   21.7979 6.91639
[MJ2006] J092019.3+510858.4                   9.33869 51.1494
[MJ2006] J041702.9-055108.8                   4.28414 -4.1475
[KMK2013] NGC3521sat                          11.0946 0.120833
[MJ2006] J234628.4+093218.9                   23.7746 9.53861
[MJ2006] J234313.8-031936.0                   23.7205 -2.67333
[MJ2006] J092011.0+510843.6                   9.33639 51.1456
[MJ2006] J041705.8-055053.5                   4.28494 -4.15194
[MJ2006] J041704.1-055032.3                   4.28447 -4.15778
[MJ2006] J101020.6+412920.8                   10.1724 41.4892
[MJ2006] J234654.4+093023.0                   23.7818 9.50639
[MJ2006] J100344.9+681627.1                   10.0625 68.2742
[MJ2006] J012515.5-000502.6                   1.42097 0.0841667
[MJ2006] J041720.1-055639.6                   4.28892 -4.05556
[MJ2006] J012541.8-000314.8                   1.42828 0.0541667
[MJ2006] J020151.3-113436.1                   2.03092 -10.4233
[MJ2006] J214823.1+065659.1                   21.8064 6.94972
[MJ2006] J041659.6-055334.9                   4.28322 -4.10694
[MJ2006] J041726.4-055104.5                   4.29067 -4.14889
[ISS2013] galaxy                              8.82581 2.24417
[MJ2006] J012540.9-000936.1                   1.42803 0.16
[MJ2006] J091929.1+510537.9                   9.32475 51.0939
[MJ2006] J041702.6-055605.2                   4.28406 -4.06528
[MJ2006] J230503.1+030902.5                   23.0842 3.15083
[MJ2006] J101039.2+413024.0                   10.1776 41.5067
[MJ2006] J225352.3+161010.9                   22.8979 16.1697
[MJ2006] J101028.4+413356.2                   10.1746 41.5656
[MJ2006] J234314.6-032013.1                   23.7207 -2.66306
[MJ2006] J234304.0-032245.1                   23.7178 -2.62083
[CVJ2005] For J0332-3557 Lens                 3.54972 -34.0358
[MJ2006] J091940.7+510810.6                   9.32797 51.1364
[MJ2006] J162015.9+173444.0                   16.3378 17.5789
[MJ2006] J012547.7-000757.8                   1.42992 0.132778
[MJ2006] J012526.3-000456.1                   1.424 0.0822222
[MJ2006] J041701.0-055143.6                   4.28361 -4.13778
[MJ2006] J011024.5-021938.5                   1.17347 -1.6725
[MJ2006] J012539.6-000518.5                   1.42767 0.0883333
[SVR2015] M59-UCD3                            12.7031 11.6448
[MJ2006] J234651.3+093413.1                   23.7809 9.57028
[MJ2006] J230447.4+030858.4                   23.0798 3.14944
[MJ2006] J041729.5-055302.4                   4.29153 -4.11611
[MJ2006] J230433.0+030850.9                   23.0758 3.1475
[MJ2006] J162032.6+173907.4                   16.3424 17.6519
[MJ2006] J011019.5-022015.2                   1.17208 -1.6625
[MJ2006] J012525.7-000759.5                   1.42381 0.133333
[MJ2006] J101050.8+413016.5                   10.1808 41.5047
[MJ2006] J041714.8-055041.5                   4.28744 -4.15528
[MJ2006] J214800.2+065505.4                   21.8001 6.91806
[TMD2011] Object A                            21.7367 -38.4343
[MJ2006] J230449.1+030842.8                   23.0803 3.14528
[GIL2005] g                                   11.3889 1.63139
[MJ2006] J171911.1+480241.7                   17.3198 48.045
[MJ2006] J101011.3+412954.4                   10.1698 41.4983
[MJ2006] J020153.3-113614.8                   2.03147 -10.3958
[MJ2006] J225410.1+160631.8                   22.9028 16.1089
[MJ2006] J101035.4+412857.1                   10.1765 41.4825
[MJ2006] J091957.3+510421.0                   9.33258 51.0725
[MJ2006] J100254.4+681001.3                   10.0484 68.1669
[OIC2004] SDSS J1335+0118 G                   13.593 1.30153
[MJ2006] J041725.3-055527.8                   4.29036 -4.07556
[MJ2006] J011023.4-021934.8                   1.17317 -1.67361
[MJ2006] J234649.3+093157.4                   23.7804 9.5325
[MJ2006] J234624.5+092845.4                   23.7735 9.47917
[SSK2002b] ERO J003707                        0.618889 9.15833
[MJ2006] J091941.1+510613.4                   9.32808 51.1036
[MJ2006] J091957.8+510810.7                   9.33272 51.1364
[MJ2006] J214822.1+065821.8                   21.8061 6.97278
[MJ2006] J011028.7-022111.5                   1.17464 -1.64667
[MJ2006] J225401.2+160704.2                   22.9003 16.1178
[MJ2006] J002656.7+224009.3                   0.449083 22.6692
[MJ2006] J012513.6-000328.4                   1.42044 0.0577778
[MJ2006] J091946.0+510902.7                   9.32944 51.1508
[MJ2006] J012511.9-000346.9                   1.41997 0.0630556
[MJ2006] J234243.9-032316.7                   23.7122 -2.61194
[MJ2006] J012536.7-000803.2                   1.42686 0.134167
