C.D.S.  -  SIMBAD4 rel 1.6  -  2018.05.15CEST23:05:36

coord 12 59 48.7  +27 58 50 (ICRS, J2000, 2000), radius: 8 deg
--------------------------------------------------------------

Number of objects : 10000  (truncated to 10000 objects)

  #  |dist(asec)|             identifier              |typ|  coord1 (ICRS,J2000/2000)   |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
-----|----------|-------------------------------------|---|-----------------------------|------|------|------|------|------|---------------|----|----
1    |      0.00|ACO 1656                             |ClG|12 59 48.7 +27 58 50         |     ~|     ~|     ~|     ~|     ~|~              |2900|   2
2    |      8.15|GMP 3146                             |GiC|12 59 48.55 +27 58 57.9      |19.06 |18.83 |18.29 |17.54 |17.14 |~              |  12|   0
3    |     13.34|[CTM2010] 180960                     |*  |12 59 47.9993 +27 58 40.418  |     ~|     ~|     ~|22.68 |22.58 |~              |   1|   0
4    |     16.77|GMP 3141                             |G  |12 59 49.091 +27 58 34.05    |     ~|20.88 |20.17 |19.65 |19.11 |~              |   4|   0
5    |     35.16|IC 3998                              |GiC|12 59 46.813 +27 58 25.27    |16.07 |15.909|14.61 |14.341|13.605|~              |  44|   0
6    |     40.93|[CTM2010] 181622                     |?  |12 59 51.0095 +27 58 22.812  |     ~|     ~|     ~|23.93 |24.09 |~              |   1|   0
7    |     44.56|[EDG2007] 384                        |G  |12 59 51.84 +27 59 06.0      |21.249|21.744|20.009|19.034|17.949|~              |   2|   0
8    |     46.21|[CG99] SA1656-6                      |GrG|12 59 52.0 +27 59 05         |     ~|24.21 |     ~|     ~|     ~|~              |   1|   0
9    |     47.11|LEDA 126781                          |GiC|12 59 46.934 +27 59 30.89    |18.90 |18.62 |17.83 |17.24 |16.74 |~              |  16|   0
10   |     49.17|EQ 1257+283                          |G  |12 59 52.3 +27 59 02         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
11   |     50.32|[CTM2010] 196790                     |G  |12 59 44.9144 +27 58 54.128  |     ~|     ~|     ~|21.86 |21.90 |~              |   5|   0
12   |     50.66|2XMM J125947.9+275939                |G  |12 59 48.052 +27 59 39.93    |     ~|     ~|     ~|     ~|     ~|~              |   3|   0
13   |     50.85|[CG99] SA1656-5                      |GrG|12 59 48.0 +27 59 40         |     ~|24.97 |     ~|     ~|     ~|~              |   1|   0
14   |     58.62|GMP 3119                             |G  |12 59 51.489 +27 59 35.52    |     ~|20.70 |20.04 |19.37 |19.02 |~              |   4|   0
15   |     62.37|[ASD2005] 2                          |?  |12 59 51.3 +27 57 58         |     ~|15.95 |15.36 |     ~|     ~|~              |   1|   0
16   |     63.40|[CTM2010] 182204                     |G  |12 59 53.4687 +27 58 55.441  |     ~|     ~|     ~|23.06 |23.29 |~              |   3|   0
17   |     65.90|[MGH2010] J125944.36+275817.8        |G? |12 59 44.36 +27 58 17.8      |     ~|     ~|     ~|     ~|22.44 |~              |   1|   0
18   |     66.02|[CTM2010] 182263                     |?  |12 59 53.1299 +27 58 19.750  |     ~|     ~|     ~|23.58 |24.07 |~              |   1|   0
19   |     67.48|GMP 3193                             |G  |12 59 44.762 +27 58 07.19    |     ~|21.21 |20.57 |19.92 |19.61 |~              |   3|   0
20   |     69.30|[CG99] SA1656-4                      |GrG|12 59 44.1 +27 58 17         |     ~|24.62 |     ~|     ~|     ~|~              |   1|   0
21   |     70.23|GMP 3107                             |G  |12 59 51.9 +27 59 46         |     ~|     ~|     ~|20.54 |20.68 |~              |   3|   0
22   |     72.55|[CTM2010] 182496                     |G  |12 59 53.74 +27 58 21.6      |     ~|     ~|     ~|     ~|22.66 |~              |   1|   0
23   |     74.94|[CTM2010] 1041508                    |G  |12 59 43.0518 +27 58 45.678  |     ~|     ~|     ~|22.62 |22.95 |~              |   3|   0
24   |     75.43|[EDG2007] 581                        |*  |12 59 45.89 +27 57 44.4      |46.426|22.545|21.247|19.866|18.771|~              |   1|   0
25   |     76.20|[EDG2007] 432                        |GiC|12 59 46.65 +28 00 01.2      |19.57 |19.055|18.41 |17.858|17.141|~              |   3|   0
26   |     78.30|GMP 3098                             |GiC|12 59 53.936 +27 58 13.68    |19.18 |18.93 |18.15 |17.52 |17.07 |~              |  13|   0
27   |     79.25|[CTM2010] 196718                     |G  |12 59 43.94 +27 58 02.0      |     ~|     ~|     ~|21.05 |21.10 |~              |   1|   0
28   |     80.20|[CTM2010] 1039823                    |*  |12 59 51.3391 +27 57 37.823  |     ~|     ~|     ~|21.06 |21.44 |~              |   1|   0
29   |     81.67|[MGH2010] J125942.90+275917.7        |G? |12 59 42.90 +27 59 17.7      |     ~|     ~|     ~|     ~|22.78 |~              |   1|   0
30   |     82.18|2MASS J12595201+2757405              |*  |12 59 52.01 +27 57 40.5      |19.217|18.542|17.277|16.527|15.5  |~              |   1|   0
31   |     83.26|LEDA 44656                           |GiC|12 59 43.724 +27 59 40.86    |16.53 |16.384|15.15 |14.832|14.154|~              |  44|   0
32   |     83.45|[CTM2010] 181520                     |?  |12 59 52.1704 +27 59 59.643  |     ~|     ~|     ~|23.49 |23.58 |~              |   1|   0
