ACO 1656                             12.997 27.9806
GMP 3141                             12.997 27.9761
[EDG2007] 384                        12.9977 27.985
EQ 1257+283                          12.9979 27.9839
[CTM2010] 196790                     12.9958 27.9817
2XMM J125947.9+275939                12.9967 27.9944
GMP 3119                             12.9976 27.9932
[CTM2010] 182204                     12.9982 27.9821
GMP 3193                             12.9958 27.9687
GMP 3107                             12.9978 27.9961
[CTM2010] 182496                     12.9983 27.9727
[CTM2010] 1041508                    12.9953 27.9794
[CTM2010] 196718                     12.9955 27.9672
[CTM2010] 195614                     12.995 27.9802
[CG99] SA1656-7                      12.997 27.9551
[ZEH2003] RX J1259.7+2756 4          12.9969 27.955
[CTM2010] 1041400                    12.9949 27.9783
GMP 3112                             12.9977 27.9569
[CTM2010] 182306                     12.9979 27.9568
[EDG2007] 449                        12.9969 27.9531
[CTM2010] 195506                     12.9953 27.9984
[CTM2010] 181737                     12.9981 28.0029
[CTM2010] 1039079                    12.9971 27.9518
[CTM2010] 1038942                    12.9967 27.9503
GMP 3075                             12.9988 27.9633
[CTM2010] 182393                     12.9979 27.9494
[CTM2010] 1041346                    12.9943 27.9778
[CTM2010] 1042772                    12.9993 27.9941
[CTM2010] 1043225                    12.9991 27.9994
GMP 3040                             12.9997 27.9778
[CTM2010] 195526                     12.9946 27.9586
[CTM2010] 1039188                    12.9948 27.953
[CTM2010] 1040263                    12.9996 27.9655
[EDG2007] 345                        12.9947 27.9523
[EDG2007] 738                        12.9976 28.0202
[CTM2010] 195768                     12.9946 27.9508
[CTM2010] 1039715                    12.9942 27.9592
[CTM2010] 122743                     12.9951 28.0151
[CTM2010] 183846                     13 27.9883
GMP 3027                             13 27.9895
[EDG2007] 623                        12.9936 27.9799
GMP 3308                             12.9936 27.9723
[OSR2002] a033                       12.9995 27.9542
[CTM2010] 1037801                    12.9979 27.9383
[EDG2007] 619                        12.995 27.9428
[CTM2010] 250641                     12.9956 27.9376
[CG99] SA1656-3                      12.9947 27.9431
