[WTM2001] BCG                                 23.7733 0.733056
[KFN87] A2361 2                               21.6528 -13.6561
[LAB95] ACO 1020 G1                           10.45 10.3702
[SDV2005]   0                                 12.5375 10.94
[ANM98] +0.20-0.92                            12.9947 27.875
[ANM98] -0.54-0.96                            12.9956 27.8744
[ANM98] +0.62+0.15                            12.9942 27.8928
[ANM98] -0.78+2.19                            12.9959 27.9269
[ANM98] +0.83-1.30                            12.9939 27.8686
[ANM98] -0.93+2.03                            12.9961 27.9242
[ANM98] +1.04-0.07                            12.9936 27.8915
[ANM98] +1.08-0.22                            12.9936 27.8867
[ANM98] -1.11+2.63                            12.9963 27.9342
[ANM98] +1.26-0.75                            12.9934 27.8778
[ANM98] +1.35-0.55                            12.9932 27.8811
[ANM98] +1.37+1.92                            12.9932 27.9224
[BM2000] 0015.0+0215.9                        21.8868 17.659
[ANM98] +1.66+1.02                            12.9929 27.9073
[ANM98] -1.72-1.26                            12.9971 27.8694
[ANM98] +1.79+2.80                            12.9927 27.937
[ANM98] -1.95+2.25                            12.9974 27.9281
[BM2000] 0019.8+1272.6                        21.8719 17.6417
[BM2000] 0021.2+1253.0                        21.9104 17.6484
[ANM98] -2.15-1.56                            12.9976 27.8644
[ANM98] -2.37+1.11                            12.9979 27.9089
[BM2000] 0024.4+0782.4                        21.906 17.7205
[ANM98] +2.45-2.32                            12.9919 27.8517
[BM2000] 0025.5+0824.4                        21.8913 17.7298
[ANM98] -2.61+2.64                            12.9982 27.9344
[BM2000] 0026.6+0389.3                        21.8868 17.6515
[ANM98] -2.77+1.41                            12.9984 27.9139
[ANM98] -2.81+0.58                            12.9985 27.9
[ANM98] +2.95+1.33                            12.9912 27.9125
[ANM98] -3.03+0.37                            12.9988 27.8967
[ANM98] -3.14+1.22                            12.9989 27.9108
[BM2000] 0031.8+0570.6                        21.9061 17.7297
[ANM98] +3.22-2.69                            12.9909 27.8453
[BM2000] 0034.9+1154.6                        21.9061 17.7044
[BM2000] 0035.2+1234.6                        21.8958 17.6622
[ANM98] +3.70-0.80                            12.9903 27.8769
[ANM98] +4.15+1.35                            12.9897 27.9128
[BM2000] 0042.5+1250.7                        21.8914 17.6134
[BM2000] 0043.9+0415.6                        21.8913 17.6989
[BM2000] 0044.6+0140.2                        21.9061 17.7483
[BM2000] 0044.7+0443.7                        21.8765 17.7287
[BM2000] 0044.9+0192.6                        21.9151 17.7421
[BM2000] 0045.5+0740.2                        21.9105 17.6702
[BM2000] 0045.9+1298.8                        21.8674 17.6935
[ANM98] +4.61+0.01                            12.9891 27.8906
[ANM98] +4.69-2.96                            12.9891 27.8408
[BM2000] 0047.2+0523.6                        21.8675 17.6748
[BM2000] 0049.0+1178.8                        21.8675 17.6987
[BM2000] 0049.2+0130.2                        21.872 17.6912
[ANM98] +5.02+0.87                            12.9886 27.9047
[BM2000] 0050.4+0269.7                        21.8675 17.6858
[BM2000] 0050.5+0981.4                        21.8869 17.6259
[BM2000] 0057.3+0029.0                        21.8869 17.6671
[BM2000] 0061.3+0820.7                        21.8914 17.73
[BM2000] 0062.2+0816.2                        21.8766 17.7125
[BM2000] 0063.5+1239.1                        21.8914 17.7119
[BM2000] 0064.0+1154.7                        21.8766 17.6978
[BM2000] 0072.2+0098.7                        21.8915 17.7612
[BM2000] 0083.5+0638.7                        21.8766 17.7202
[BM2000] 0085.9+0951.1                        21.8915 17.7243
[BM2000] 0087.3+0905.9                        21.896 17.6764
[BM2000] 0087.8+1039.0                        21.8961 17.6219
[BM2000] 0089.2+0223.6                        21.9107 17.6925
[BM2000] 0093.0+0791.1                        21.8677 17.6632
[BM2000] 0093.5+0424.1                        21.8915 17.6984
[BM2000] 0100.7+0184.5                        21.9108 17.7458
[BM2000] 0100.8+0754.0                        21.8767 17.7152
[BM2000] 0102.5+1284.2                        21.9063 17.6987
[BM2000] 0107.1+0584.0                        21.896 17.6903
[BM2000] 0109.7+1036.1                        21.8871 17.6234
[BM2000] 0115.1+0749.8                        21.9153 17.718
[BM2000] 0116.6+0540.3                        21.8961 17.6922
[BM2000] 0116.8+0707.8                        21.9153 17.7198
[BM2000] 0119.5+0257.8                        21.8678 17.6862
[BM2000] 0121.1+0142.5                        21.8722 17.6906
[BM2000] 0123.7+1102.5                        21.8961 17.7168
[BM2000] 0124.7+1241.1                        21.9108 17.7008
[BM2000] 0126.9+0109.7                        21.8768 17.6917
[BM2000] 0128.3+0897.3                        21.8722 17.7098
[BM2000] 0128.4+0895.1                        21.8961 17.6768
[BM2000] 0128.7+0788.2                        21.8871 17.6342
[BM2000] 0129.2+0575.0                        21.8871 17.6434
[BM2000] 0129.3+0767.9                        21.9153 17.668
[BM2000] 0129.6+0178.2                        21.8917 17.7578
[BM2000] 0132.2+1130.1                        21.8916 17.7166
[BM2000] 0134.7+0266.1                        21.8768 17.7364
[BM2000] 0135.4+0185.4                        21.8768 17.6884
[BM2000] 0138.1+1023.0                        21.8917 17.6233
[BM2000] 0142.6+0418.8                        21.9153 17.6834
[BM2000] 0142.8+1207.2                        21.8723 17.6965
[BM2000] 0144.5+0860.9                        21.8916 17.6794
[BM2000] 0144.9+0116.2                        21.8768 17.6914
[BM2000] 0145.8+0581.2                        21.8963 17.6417
[BM2000] 0148.0+1231.8                        21.8917 17.7121
[BM2000] 0153.3+0611.5                        21.911 17.727
[BM2000] 0153.7+1258.0                        21.8768 17.6418
[BM2000] 0154.8+1089.0                        21.8678 17.6503
[BM2000] 0156.4+0596.2                        21.8678 17.7237
[BM2000] 0157.6+0371.5                        21.8724 17.6807
[BM2000] 0161.2+0625.8                        21.8769 17.7207
[BM2000] 0164.5+0800.1                        21.8918 17.6329
[BM2000] 0164.9+0251.6                        21.9154 17.6908
[BM2000] 0165.0+1247.3                        21.8963 17.7105
[BM2000] 0167.3+0678.1                        21.9109 17.6728
[BM2000] 0167.7+0706.5                        21.8962 17.685
[BM2000] 0167.7+1155.7                        21.8724 17.6467
[BM2000] 0168.1+0356.3                        21.911 17.7383
[BM2000] 0168.4+0356.4                        21.8963 17.6514
[BM2000] 0169.1+0951.9                        21.8724 17.6555
[BM2000] 0169.2+0676.4                        21.8769 17.6671
[BM2000] 0171.5+1203.1                        21.8872 17.6162
[BM2000] 0175.9+0121.7                        21.8917 17.7111
[BM2000] 0176.0+1110.5                        21.8963 17.7164
[BM2000] 0176.7+0819.5                        21.8769 17.7123
[BM2000] 0178.1+0806.3                        21.8962 17.6807
[BM2000] 0179.3+0525.2                        21.8769 17.7251
[BM2000] 0181.4+1026.4                        21.911 17.7093
[BM2000] 0181.9+0419.0                        21.8918 17.6494
[BM2000] 0182.2+1224.1                        21.8724 17.6957
[BM2000] 0184.5+0637.6                        21.8963 17.688
[BM2000] 0186.3+0724.6                        21.8918 17.6361
[BM2000] 0186.6+0702.5                        21.8724 17.7182
[BM2000] 0189.9+0387.5                        21.9155 17.7336
[BM2000] 0190.8+0518.1                        21.911 17.6797
[BM2000] 0192.9+0074.7                        21.8964 17.7614
[BM2000] 0192.9+0847.6                        21.8918 17.7288
[BM2000] 0196.3+1064.8                        21.8918 17.6706
[BM2000] 0206.2+0715.3                        21.868 17.7186
[BM2000] 0206.4+1196.8                        21.8919 17.7136
[BM2000] 0206.6+0488.8                        21.8963 17.6944
[BM2000] 0207.5+1059.0                        21.8725 17.6509
[BM2000] 0212.9+0213.3                        21.8965 17.6576
[BM2000] 0213.5+1308.0                        21.8918 17.6605
[BM2000] 0216.1+0859.2                        21.8919 17.7283
[BM2000] 0216.2+0644.8                        21.9111 17.7256
[BM2000] 0217.8+0690.9                        21.8918 17.6866
[BM2000] 0218.2+0920.3                        21.877 17.7079
[BM2000] 0219.0+1212.4                        21.8965 17.6143
[BM2000] 0222.5+1234.7                        21.9066 17.7008
[BM2000] 0223.9+0842.6                        21.9111 17.717
[BM2000] 0224.4+0737.8                        21.8964 17.6836
[BM2000] 0226.1+1283.0                        21.9111 17.6468
[BM2000] 0228.3+0764.6                        21.9112 17.7203
[BM2000] 0229.3+0660.3                        21.892 17.7368
[BM2000] 0229.6+0134.3                        21.9067 17.7484
[BM2000] 0229.8+0933.7                        21.9156 17.6607
[BM2000] 0233.3+0218.8                        21.892 17.6581
[BM2000] 0233.5+0275.1                        21.8965 17.6549
[BM2000] 0233.7+1264.8                        21.868 17.6948
[BM2000] 0235.9+0799.6                        21.892 17.7308
[BM2000] 0237.7+1229.5                        21.8965 17.6136
[BM2000] 0241.7+0511.8                        21.8919 17.6944
[BM2000] 0241.8+0490.3                        21.8965 17.7433
[BM2000] 0243.7+0857.2                        21.8681 17.7124
[BM2000] 0244.1+0506.6                        21.8965 17.6936
[BM2000] 0245.0+0553.1                        21.8726 17.7246
[BM2000] 0246.9+1235.8                        21.8681 17.6961
[BM2000] 0247.1+0226.1                        21.8726 17.6869
[BM2000] 0248.1+0187.8                        21.8772 17.7397
[BM2000] 0250.0+0601.5                        21.8681 17.7234
[BM2000] 0250.4+1099.8                        21.9112 17.7061
[BM2000] 0251.1+0671.8                        21.9112 17.7244
[BM2000] 0254.7+0364.6                        21.9157 17.7346
[BM2000] 0256.9+0120.7                        21.9068 17.749
[BM2000] 0259.1+0038.3                        21.9113 17.7523
[BM2000] 0259.6+1255.6                        21.892 17.6626
[BM2000] 0262.2+1070.2                        21.8726 17.7023
[BM2000] 0265.1+0778.4                        21.8772 17.7141
[BM2000] 0267.1+0166.7                        21.8921 17.7582
[BM2000] 0270.1+1061.1                        21.8966 17.6208
[BM2000] 0270.6+1108.1                        21.8681 17.7016
[BM2000] 0272.1+0805.9                        21.8921 17.6326
[BM2000] 0272.5+1078.3                        21.8681 17.7029
[BM2000] 0279.7+1186.1                        21.9068 17.7029
[BM2000] 0280.6+0089.7                        21.8727 17.6928
[BM2000] 0280.7+0138.9                        21.8966 17.7585
[BM2000] 0283.9+1278.7                        21.8682 17.6942
[BM2000] 0284.3+0488.5                        21.8966 17.6944
[BM2000] 0285.8+1225.2                        21.9112 17.6492
[BM2000] 0287.6+0405.0                        21.8966 17.747
[BM2000] 0289.3+0564.8                        21.8921 17.692
[BM2000] 0289.6+1225.8                        21.8921 17.6144
[BM2000] 0292.7+0152.6                        21.8967 17.6602
[BM2000] 0294.1+0905.0                        21.9069 17.7151
[BM2000] 0295.4+1299.0                        21.8876 17.612
[BM2000] 0295.6+0494.7                        21.8773 17.7264
[BM2000] 0297.1+0084.6                        21.9114 17.7502
[BM2000] 0297.7+0364.5                        21.8876 17.6524
[BM2000] 0298.5+0581.2                        21.8728 17.7234
[BM2000] 0300.1+0546.1                        21.8922 17.7418
[BM2000] 0301.2+0284.6                        21.9159 17.738
[BM2000] 0302.8+0437.2                        21.9159 17.7314
[BM2000] 0304.4+0462.2                        21.8683 17.7294
[BM2000] 0305.8+0219.0                        21.8967 17.7061
[BM2000] 0307.1+1212.9                        21.8921 17.6642
[BM2000] 0309.8+0267.4                        21.9159 17.69
[BM2000] 0310.4+1051.8                        21.8922 17.6219
[BM2000] 0314.3+0197.5                        21.8773 17.6878
[BM2000] 0317.1+0953.1                        21.8877 17.6269
[BM2000] 0324.6+1214.8                        21.8773 17.6951
[BM2000] 0324.9+0082.3                        21.8729 17.7449
[BM2000] 0325.6+0948.3                        21.8773 17.6552
[BM2000] 0327.4+0540.2                        21.8729 17.7252
[BM2000] 0330.1+1081.8                        21.8729 17.7018
[BM2000] 0331.4+0305.7                        21.8968 17.7512
[BM2000] 0334.0+0528.8                        21.8968 17.7416
[BM2000] 0337.2+0895.5                        21.8684 17.6585
[BM2000] 0340.1+1094.7                        21.8683 17.7021
[BM2000] 0340.6+1285.6                        21.9115 17.6985
[BM2000] 0345.8+0547.3                        21.9115 17.7299
[BM2000] 0349.4+0312.9                        21.8923 17.7028
[BM2000] 0350.0+0113.5                        21.8968 17.7596
[BM2000] 0351.4+0444.3                        21.916 17.7311
[BM2000] 0352.0+0693.9                        21.8969 17.6367
[BM2000] 0359.3+0168.7                        21.8969 17.7572
[BM2000] 0359.6+0230.2                        21.873 17.6867
[BM2000] 0359.7+0541.0                        21.916 17.7269
[BM2000] 0360.7+0773.0                        21.8775 17.7143
[BM2000] 0361.8+1019.8                        21.8684 17.7053
[BM2000] 0365.1+0789.8                        21.8775 17.662
[BM2000] 0366.1+1050.6                        21.8968 17.67
[BM2000] 0369.1+0204.5                        21.8775 17.6875
[BM2000] 0371.5+0198.6                        21.9161 17.7417
[BM2000] 0375.0+0258.5                        21.9161 17.7391
[BM2000] 0376.3+0912.1                        21.8685 17.7099
[BM2000] 0377.6+0161.0                        21.8879 17.6612
